/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/CodigoPublicoNaLegAtual;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/NomeCompletoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/SexoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/FormaTratamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlFotoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/EmailParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/SiglaPartidoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UfParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/MembroMesa;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/MembroLideranca;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/NumeroTelefone;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/OrdemPublicacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Telefones/Telefone/IndicadorFax;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Bloco/CodigoBloco;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Bloco/NomeBloco;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Bloco/NomeApelido;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/Bloco/DataCriacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/CodigoMandato;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/UfParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/NumeroLegislatura;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/PrimeiraLegislaturaDoMandato/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/NumeroLegislatura;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/SegundaLegislaturaDoMandato/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Suplentes/Suplente/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/CodigoExercicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataInicio;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/DescricaoParticipacao;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/CodigoParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Titular/NomeParlamentar;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataFim;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/SiglaCausaAfastamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DescricaoCausaAfastamento;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/IdentificacaoParlamentar/UrlPaginaParticular;/ListaParlamentarEmExercicio/Parlamentares/Parlamentar/Mandato/Exercicios/Exercicio/DataLeitura
"6358";"920";"Ana Paula Lobato";"Ana Paula Dias Lobato Nova Alves";"Feminino";"Senadora ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6358.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6358";"sen.anapaulalobato@senado.leg.br";"PSB";"MA";"Sim";"NÃ£o";"33032967";"1";"NÃ£o";"335";"Bloco Parlamentar da ResistÃªncia DemocrÃ¡tica";"BLPRD";"2023-02-01";"602";"MA";"1Âº Suplente";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2Âº Suplente";"6359";"Lourdinha";;;"Titular";"4605";"FlÃ¡vio Dino";;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";;;;;"33036103";"1";"NÃ£o";;;;;;;;;;;;;;;;;;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";;;;;"33036105";"3";"NÃ£o";;;;;;;;;;;;;;;;;;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";"REPUBLICANOS";"BA";"NÃ£o";"NÃ£o";;;;"346";"Bloco Parlamentar AlianÃ§a";"BLALIANÃ‡A";"2023-03-20";"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1Âº Suplente";"5837";"Davidson MagalhÃ£es";;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";"REPUBLICANOS";"BA";"NÃ£o";"NÃ£o";;;;"346";"Bloco Parlamentar AlianÃ§a";"BLALIANÃ‡A";"2023-03-20";"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2Âº Suplente";"5056";"Silvia Nascimento Cardoso dos Santos Cerqueira";;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";"REPUBLICANOS";"BA";"NÃ£o";"NÃ£o";;;;"346";"Bloco Parlamentar AlianÃ§a";"BLALIANÃ‡A";"2023-03-20";"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2889";"2019-02-01";;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";;;;;"33031177";"1";"NÃ£o";;;;;;;;;;;;;;;;;;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";;;;;"33031797";"2";"NÃ£o";;;;;;;;;;;;;;;;;;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";"PL";"SP";"NÃ£o";"Sim";;;;"357";"Bloco Parlamentar Vanguarda";"BLVANG";"2025-02-03";"617";"SP";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"1Âº Suplente";"6385";"Professor Alberto";;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";"PL";"SP";"NÃ£o";"Sim";;;;"357";"Bloco Parlamentar Vanguarda";"BLVANG";"2025-02-03";"617";"SP";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2Âº Suplente";"6386";"Sirlange Manga";;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";"PL";"SP";"NÃ£o";"Sim";;;;"357";"Bloco Parlamentar Vanguarda";"BLVANG";"2025-02-03";"617";"SP";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3017";"2023-02-01";;;;;;;;
"4639";"877";"Beto Faro";"JosÃ© Roberto Oliveira Faro";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639";"sen.betofaro@senado.leg.br";"PT";"PA";"NÃ£o";"Sim";"33035220";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"604";"PA";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"1Âº Suplente";"6364";"Josenir";;;;;;;;;;
"4639";"877";"Beto Faro";"JosÃ© Roberto Oliveira Faro";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639";"sen.betofaro@senado.leg.br";"PT";"PA";"NÃ£o";"Sim";"33035220";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"604";"PA";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2Âº Suplente";"6365";"Leny CampÃªlo";;;;;;;;;;
"4639";"877";"Beto Faro";"JosÃ© Roberto Oliveira Faro";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639";"sen.betofaro@senado.leg.br";"PT";"PA";"NÃ£o";"Sim";"33035220";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"604";"PA";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3020";"2023-02-01";;;;;;;;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"1Âº Suplente";"6350";"Augusta Brito";;;;;;;;;;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2Âº Suplente";"6351";"JanaÃ­na Farias";;;;;;;;;;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3102";"2026-04-02";;;;;;;;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3083";"2025-02-01";;;;"2025-02-03";"AFO";"Afastamento do exercÃ­cio";;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3050";"2023-12-12";;;;"2023-12-13";"AFO";"Afastamento do exercÃ­cio";;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3035";"2023-02-01";;;;"2023-02-02";"AFO";"Afastamento do exercÃ­cio";;
"6336";"805";"Camilo Santana";"Camilo Sobreira de Santana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6336.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6336";"sen.camilosantana@senado.leg.br";"PT";"CE";"NÃ£o";"Sim";"33035940";"1";"NÃ£o";"359";"Bloco Parlamentar Pelo Brasil";"BLPBR";"2025-02-18";"598";"CE";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;;;;;;;;;;
"6295";"945";"Carlos FÃ¡varo";"Carlos Henrique Baqueta FÃ¡varo";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295";"sen.carlosfavaro@senado.leg.br";"PSD";"MT";"NÃ£o";"NÃ£o";"33036408";"1";"NÃ£o";"335";"Bloco Parlamentar da ResistÃªncia DemocrÃ¡tica";"BLPRD";"2023-02-01";"592";"MT";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1Âº Suplente";"6304";"Margareth Buzetti";;;;;;;;;;
"6295";"945";"Carlos FÃ¡varo";"Carlos Henrique Baqueta FÃ¡varo";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295";"sen.carlosfavaro@senado.leg.br";"PSD";"MT";"NÃ£o";"NÃ£o";"33036408";"1";"NÃ£o";"335";"Bloco Parlamentar da ResistÃªncia DemocrÃ¡tica";"BLPRD";"2023-02-01";"592";"MT";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2Âº Suplente";"6305";"JosÃ© Lacerda";;;;;;;;;;
